City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
10,Kapaa,US,78.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
12,Sao Joao Da Barra,BR,75.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
14,Coahuayana,MX,87.96,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
17,Rikitea,PF,78.42,clear sky,-23.1203,-134.9692,People ThankYou
21,Hilo,US,78.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
23,Salalah,OM,82.49,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
24,Mersing,MY,78.67,heavy intensity rain,2.4312,103.8405,Timotel Hotel
29,Mahebourg,MU,76.24,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
32,Marsh Harbour,BS,77.38,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
34,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
36,Veraval,IN,79.66,clear sky,20.9,70.3667,Lords Inn Somnath
69,Atuona,PF,79.9,few clouds,-9.8,-139.0333,Villa Enata
70,Faanui,PF,80.42,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
73,Boca Do Acre,BR,81.36,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
75,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
79,Souillac,MU,77.52,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
91,Butaritari,KI,81.52,few clouds,3.0707,172.7902,Isles Sunset Lodge
98,Valle De Allende,MX,86.79,few clouds,26.9333,-105.4,Hotel Meson de San Bartolome
99,Bengkulu,ID,75.47,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
100,Jaleswar,NP,78.17,clear sky,26.6471,85.8008,Sundar Mobile Repairing Centre
103,Kipini,KE,80.89,light rain,-2.5257,40.5262,Delta Sea Mall
113,Anloga,GH,82.76,moderate rain,5.7947,0.8973,Pin Drop Hotel
114,Srivardhan,IN,79.45,light rain,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
118,Puerto Ayora,EC,78.76,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
122,Waqqas,JO,78.78,broken clouds,32.5427,35.6053,Jordan EcoPark
131,Morondava,MG,81.61,clear sky,-20.2833,44.2833,La Case Bambou
133,Bambous Virieux,MU,76.21,moderate rain,-20.3428,57.7575,Casa Tia Villa
141,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
144,Trat,TH,80.91,overcast clouds,12.5,102.5,สวนหนิง-อัศ
146,Manicore,BR,78.76,overcast clouds,-5.8092,-61.3003,Hotel Durval
147,Makakilo City,US,79.12,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
148,Saint George,US,82.8,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
150,Irmo,US,82.78,broken clouds,34.086,-81.1832,Hilton Garden Inn Columbia/Harbison
154,Beohari,IN,83.93,clear sky,24.05,81.3833,Shivanshu tiwari
162,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
164,Salinopolis,BR,79.11,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
169,Ruidoso,US,76.05,clear sky,33.3317,-105.673,Inn of the Mountain Gods
174,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
176,Dicabisagan,PH,76.01,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
183,Sotouboua,TG,82.42,overcast clouds,8.5667,0.9833,Auberge Médina
185,Ascension,US,84.99,broken clouds,30.2169,-90.9001,Highland Inn
186,Tulum,MX,86.72,clear sky,20.2167,-87.4667,Kin Ha Tulum
189,Cabedelo,BR,81.27,broken clouds,-6.9811,-34.8339,Hotel Pigalle
190,Cayenne,GF,82.44,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
192,Kirakira,SB,82.15,broken clouds,-10.4544,161.9205,SanBiz Lodge
217,Kavieng,PG,83.73,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
222,Hithadhoo,MV,82.53,scattered clouds,-0.6,73.0833,Scoop Guest House
223,Denpasar,ID,80.26,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
232,San Clemente,US,84.56,clear sky,33.427,-117.612,Casablanca Inn
242,Namibe,AO,75.27,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
244,Buala,SB,81.73,light rain,-8.145,159.5921,Maringe Lagoon Lodge
246,Dwarka,IN,79.56,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
248,Alofi,NU,81.46,broken clouds,-19.0595,-169.9187,Taloa Heights
249,Beni Mazar,EG,88.88,broken clouds,28.4962,30.8029,Link Co-Working space & Development center
255,Mogadishu,SO,82.51,light rain,2.0371,45.3438,Hotel Juba
260,Soyo,AO,78.58,broken clouds,-6.1349,12.3689,Hotel Mpampa
264,San Patricio,US,89.69,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
269,Dingle,PH,75.2,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
277,Kudahuvadhoo,MV,83.77,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
278,Meulaboh,ID,77.74,overcast clouds,4.1363,96.1285,Kost Pria
289,Lorengau,PG,81.81,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
290,Simplicio Mendes,BR,80.58,overcast clouds,-7.8539,-41.9103,Fidalgo
298,Kimbe,PG,77.25,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
302,Honiara,SB,80.35,overcast clouds,-9.4333,159.95,Heritage Park Hotel
303,Banjar,ID,77.9,light rain,-8.19,114.9675,The Hamsa Resort
309,Port Blair,IN,81.12,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
311,Aswan,EG,88.38,clear sky,24.0934,32.907,Nuba Nile
314,Sechura,PE,78.12,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
315,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
319,Kangaba,ML,89.89,overcast clouds,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
326,Tlaxco,MX,78.85,clear sky,19.6167,-98.1167,Hacienda Santa María Xalostoc
333,Dzilam Gonzalez,MX,87.73,clear sky,21.2833,-88.9333,posadas
336,Sao Jose Da Coroa Grande,BR,78.98,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
338,Puerto Escondido,MX,88.34,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
339,Morgan City,US,85.01,scattered clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
341,Harper,LR,77.52,overcast clouds,4.375,-7.7169,Screensaver
347,Lompoc,US,75.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
349,Sarangani,PH,81.09,overcast clouds,5.4033,125.4636,Ballistic Islet
350,Espanola,US,79.27,clear sky,35.9911,-106.0806,Santa Claran Hotel Casino
351,Kununurra,AU,75.18,scattered clouds,-15.7667,128.7333,Hotel Kununurra
