City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Ushuaia,AR,-54.8,-68.3,49.66,76,75,17.27,light intensity drizzle
1,Mataura,NZ,-46.1927,168.8643,41.49,81,0,1.74,clear sky
2,Hermanus,ZA,-34.4187,19.2345,61.81,89,36,8.46,scattered clouds
3,Kidal,ML,18.4411,1.4078,80.62,14,98,10.07,overcast clouds
4,Nouadhibou,MR,20.931,-17.0347,65.21,91,100,12.57,overcast clouds
5,Broome,US,42.2506,-75.833,44.71,46,100,19.57,overcast clouds
6,Chokurdakh,RU,70.6333,147.9167,-1.16,99,91,4.36,overcast clouds
7,Jamestown,US,42.097,-79.2353,43.02,40,0,6.91,clear sky
8,Bethel,US,41.3712,-73.414,49.53,42,20,13.8,few clouds
9,East London,ZA,-33.0153,27.9116,64.92,81,76,5.82,broken clouds
10,Kapaa,US,22.0752,-159.319,78.78,84,75,17.27,broken clouds
11,Moron,AR,-34.6534,-58.6198,69.93,69,100,5.46,overcast clouds
12,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,72,3,11.63,clear sky
13,Bluff,NZ,-46.6,168.3333,41.81,83,7,8.25,clear sky
14,Coahuayana,MX,18.7333,-103.6833,87.96,52,68,8.19,broken clouds
15,Bredasdorp,ZA,-34.5322,20.0403,59.95,93,66,5.01,broken clouds
16,Port Elizabeth,ZA,-33.918,25.5701,65.32,98,0,3.0,clear sky
17,Rikitea,PF,-23.1203,-134.9692,78.42,69,1,12.66,clear sky
18,Sistranda,NO,63.7256,8.834,46.36,75,73,7.34,broken clouds
19,Albany,US,42.6001,-73.9662,47.44,49,93,1.99,overcast clouds
20,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,78,0,10.36,clear sky
21,Hilo,US,19.7297,-155.09,78.28,78,100,4.61,moderate rain
22,Castro,BR,-24.7911,-50.0119,58.51,71,3,1.81,clear sky
23,Salalah,OM,17.0151,54.0924,82.49,83,40,3.44,scattered clouds
24,Mersing,MY,2.4312,103.8405,78.67,86,51,2.73,heavy intensity rain
25,Yuancheng,CN,36.652,107.7896,40.62,50,1,17.67,clear sky
26,Norman Wells,CA,65.282,-126.8329,20.28,70,65,5.61,broken clouds
27,Sobolevo,RU,54.4299,31.8996,34.59,72,96,11.41,overcast clouds
28,Carnarvon,AU,-24.8667,113.6333,66.27,88,100,10.36,overcast clouds
29,Mahebourg,MU,-20.4081,57.7,76.24,87,43,14.23,light rain
30,Yellowknife,CA,62.456,-114.3525,17.56,44,98,10.0,overcast clouds
31,Cape Town,ZA,-33.9258,18.4232,62.11,83,20,18.99,few clouds
32,Marsh Harbour,BS,26.5412,-77.0636,77.38,74,47,12.8,scattered clouds
33,Barcelos,PT,41.5388,-8.6151,61.84,86,3,7.58,clear sky
34,Vaini,TO,-21.2,-175.2,82.56,83,75,4.61,broken clouds
35,Olafsvik,IS,64.8945,-23.7142,41.99,67,94,10.92,overcast clouds
36,Veraval,IN,20.9,70.3667,79.66,71,0,11.41,clear sky
